 Fly.line;Red light I;Elevator I;Dark I;Red light II;Elevator II ;Dark II 
"NorpA; NP6510>Chrimson (ATR)";10;5;16;10;12;7
"NorpA; NP5272>Chrimson (ATR)";12;6;10;4;10;12
"NorpA; C259>Chrimson (ATR)";11;5;15;4;6;22
"NorpA; 5HTrIB>Chrimson (ATR)";17;2;11;10;5;15
"NorpA; NP6510>Chrimson (ATR)";6;12;9;4;12;11
"NorpA; NP6510>Chrimson (ATR)";10;11;9;8;7;12
"NorpA; C259>Chrimson (ATR)";2;5;22;8;6;14
"NorpA; C259>Chrimson (ATR)";7;9;14;8;6;16
"NorpA; 5HTrIB>Chrimson (ATR)";17;4;7;16;5;7
"NorpA; 5HTrIB>Chrimson (ATR)";16;3;10;14;9;5
"NorpA; NP5272>Chrimson (ATR)";17;2;9;7;3;17
"NorpA; NP5272>Chrimson (ATR)";9;2;9;5;6;9
"NorpA; THD4>Chrimson (ATR)";12;3;15;5;16;9
"NorpA; THG1>Chrimson (ATR)";18;1;10;17;5;7
"NorpA; THF2>Chrimson (ATR)";10;2;10;5;5;10
"NorpA;THF3 >Chrimson (ATR)";6;2;8;1;7;7
"NorpA;THD1 >Chrimson (ATR)";14;10;2;10;3;4
"NorpA; THF1>Chrimson (ATR)";6;4;10;10;4;5
"NorpA; DDC>Chrimson (ATR)";3;11;5;5;6;8
"NorpA;THD1 >Chrimson (ATR)";11;2;17;18;5;6
"NorpA;THD1 >Chrimson (ATR)";13;1;10;10;2;10
"NorpA; THF1>Chrimson (ATR)";19;3;7;13;4;11
"NorpA; THF1>Chrimson (ATR)";12;4;11;8;8;9
"NorpA; THF1>Chrimson (ATR)";12;8;6;10;14;1
"NorpA; THF2>Chrimson (ATR)";15;4;11;7;10;14
"NorpA; THF2>Chrimson (ATR)";12;8;10;7;10;12
"NorpA; THF2>Chrimson (ATR)";11;10;7;5;8;15
"NorpA; THC1>Chrimson (ATR)";14;5;10;12;7;8
"NorpA; THC1>Chrimson (ATR)";11;8;9;12;3;11
"NorpA; THC1>Chrimson (ATR)";2;17;9;13;9;7
"NorpA; THD´>Chrimson (ATR)";6;8;13;6;10;11
"NorpA; THD´>Chrimson (ATR)";6;7;8;7;10;4
"NorpA; TH>Chrimson (ATR)";11;11;7;12;12;5
"NorpA; TH>Chrimson (ATR)";7;7;9;5;11;6
"NorpA;THF3 >Chrimson (ATR)";10;3;16;10;8;10
"NorpA;THF3 >Chrimson (ATR)";10;7;13;9;8;13
"NorpA;THF3 >Chrimson (ATR)";6;9;15;12;1;17
"NorpA;THF3 >Chrimson (ATR)";14;4;12;13;3;14
"NorpA; THG1>Chrimson (ATR)";11;6;13;14;3;13
"NorpA; THG1>Chrimson (ATR)";4;13;13;13;10;7
"NorpA; THG1>Chrimson (ATR)";14;5;11;15;7;8
"NorpA; MZ19>Chrimson (ATR)";5;5;17;12;6;9
"NorpA; MZ19>Chrimson (ATR)";10;9;11;9;12;8
"NorpA; MZ19>Chrimson (ATR)";10;5;3;6;8;4
"NorpA; DDC>Chrimson (ATR)";3;8;6;4;8;4
"NorpA; NP1528>Chrimson (ATR)";0;12;7;10;5;3
"NorpA; HL9>Chrimson (ATR)";8;13;6;11;8;6
"NorpA; HL9>Chrimson (ATR)";6;16;5;7;12;5
